"sourcePath","sourceSha256","sourceCategory","importPath","targetRuntimePath","status","calComTests","nerovaTests","featureFlag","licenseMarkers","notes"
".changeset/README.md","c0ce3357f4ab5d90c4412a3dece4ae7f15145e5e13dee1e1fbc953855d41e4bf","source","application/main/CalCom/.changeset/README.md","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".changeset/config.json","c418b7a9bd3b846e336724421a49eefd07c9cdecf4f2540b69cb9b93991d3ef4","source","application/main/CalCom/.changeset/config.json","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".changeset/tender-birds-think.md","99af4c686a7bf101ccc25d752dd336885570dad60199e0e93544fee56f21a8a1","source","application/main/CalCom/.changeset/tender-birds-think.md","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".claude/rules","7225fbeaaab55864ae190eb27a4d453d938198521a51e930e5c4227a78031437","source","application/main/CalCom/.claude/rules","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".claude/settings.json","5ec094bfd8e3b1100e9a224204a43a3979d4dd4a6c629344c1013fb7d4b1f42d","source","application/main/CalCom/.claude/settings.json","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".claude/skills","ea06603709029261295eb8abefd928f4311f5a892cc0bb5f741d1a893f574a76","source","application/main/CalCom/.claude/skills","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".cursor/rules","7225fbeaaab55864ae190eb27a4d453d938198521a51e930e5c4227a78031437","source","application/main/CalCom/.cursor/rules","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".cursor/skills","ea06603709029261295eb8abefd928f4311f5a892cc0bb5f741d1a893f574a76","source","application/main/CalCom/.cursor/skills","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".dockerignore","020e7a8b7a2ecae5ffaf0018d5ac32b6ef0090200df0c0038f075142c8ef6608","source","application/main/CalCom/.dockerignore","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".editorconfig","62c3ee990eced738b66a94f31e377bdafac1dd234b7a1a5dc33b13721a855811","source","application/main/CalCom/.editorconfig","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".env.appStore.example","0fcc4861d362aefc629c2f35e5c1bef66d1feb52e31fc6e99f485e9d627d0207","source","application/main/CalCom/.env.appStore.example","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
